id_cohorte;effectif;inscriptions;réussites
14605;1;-8<--, B4MQS3, B5MQS3;B4MQS3, B5MQS3
14606;1;G1PC, L2ANG, L3ANG;L1ANG, L2ANG, L3ANG
14607;1;B2SSO;B2SSO
14608;1;-8<--, V2IDA, V2IDB, [trou], A3CIB;V1IDB, V2IDA, V2IDB, A3CIB
14609;1;B4MQS2, B4MQS;B4MQS
14610;1;-8<--, B4SST, B5SST, B5MES;B4SST, B5SST
14611;1;B1SSS, B2SSS, B3SSO, B4SST, B5SST;B1SSS, B2SSS, B3SSO, B4SST, B5SST
14612;1;L4SED, L4SED, [trou], L5IIST, [trou], [trou], B8SE, B8SE;L4SED, L5IIST
14613;1;-8<--, L3LMO, L3LMO;
14614;1;G1INF, G1INF, G1INF, G2INF, G3INF, G4INFO, G5EI2D;G1INF, G2INF, G3INF, G4INFO, G5EI2D
14615;1;V1GE, V2GMO, D3GP;V1GE, V2GMO
14616;1;G1PI, G2PI, G3SE, G4SE2;G1MAT9, G1PI, G2PC9, G2PI, G3SE
14617;1;G1PI, G2PI, G3SE, G4SE, G5SE, G5SE;G1PI, G4SE, GCLS2A, G5SE
14618;1;E1EGE9, E2EGE9, E3ECO;E1EGE9, E2EGE9, E3ECO
14619;1;V1GE, V2GRH, [trou], V3MEC;V1GE, V2GRH
14620;1;-8<--, D1DRO, D2DRO, D2DRO, D3DRO, D3DRO, D4DPI, D5ETS;D1DRO, D1CII, D2DRO, D3DRO, D4DPI, D5ETS
14621;1;B1PAES, B1PAES, [trou], B2SSO, BUPH1C, BUPH2C;B2SSO, BUPH1C, B3SSO, BUPH2C
14622;1;-8<--, B9CMU;B9CMU
14623;1;-8<--, G4PHA, G5PNA, G5PN;G4PHA, G5PN
14624;1;B4IADS;B4IADS
14625;1;-8<--, L8SE, [trou], [trou], G4MFMI, G5MFMI;G4MFMI, G5MFMI
14626;1;B8SSE;
14627;1;S1GE, [trou], E2EGE, E3ECO;E2EGE, E3ECO
14628;1;S1GF2, S2GR2;S2GR2
14629;1;L1LET, L1LET, L1LET, L2LET, L3LET;L1LET, L2LET
14630;1;-8<--, D2DRO, D2DRO8;D1DRO
14631;1;B1PAES, [trou], S2GF7;S2GF7
14632;1;G3INF, G3INF, G3INF, G4INFO;G3INF, G4INFO
14633;1;DUJOH8, DXEN;DUJOH8
14634;1;L1HHI, L2HHI, L3HHI, L4HPMI;L1HHI, L2HHI, L3HHI
14635;1;G0INF, G1INFR, S1HSE2;
14636;1;B1PAES, B2SM, B3SM, B3SM, B3DFAS, B4DFAS, B5DFAS, B6EMA;B1PAES, B2SM, B3SM, B3DFAS, B4DFAS, B5DFAS
14637;1;LXAB1, L1GEA, G0PC;LXAB1
14638;1;-8<--, B1PAES, B1SSS, B2SSO, B3SSO, B4MES, B5MES;B1SSS, B2SSO, B1CII, B3SSO, B4CPI, B4MES, B5MES
14639;1;-8<--, V2GPB;V2GP
14640;1;B1PAES, B1SSO, B1PAES, B2SSO, B2SSO;B1SSO
14641;1;-8<--, L4CAE, L4MFES, [trou], L4MFES, L4MFES;L4MFES
14642;1;DXEN, DXEN, DUJOH8;DUJOH8
14643;1;G1PI, G2PI, G2SPI, G3SPI, G3SPI;G1PI, G2SPI
14644;1;-8<--, V1CJ, V2CJ;
14645;1;BUCR1, BUCR2, [trou], BUCR2;BUCR2
14646;1;B1IFAV, [trou], [trou], B3IFAV;B1IFAV, B3IFAV
14647;1;-8<--, L2PSY5, L3PSY5, L4PSY, L5PPC;L2PSY5, L3PSY5, L3PSY5, L4PSY, L5PPC
14648;1;V1GE, V2GCF, V3PAI2;V2GCF
14649;1;B1SVES, [trou], E1EGE;
14650;1;-8<--, L3LMO, L4SLF;L3LMO
14651;1;L8AN, L8AN, L8AN, L8AN, L8AN;
14652;1;L8AN, L8AN;
14653;1;L8AN, L8AN, L8AN, L8AN;
14654;1;L8AN, L8AN, L8AN;
14655;1;L8AN, L8AN, L8AN, L8AN, L8AN, L8AN;
14656;1;G1SPI9, G2SPI9, S2PR;G1SPI9
14657;1;L4LEAM, L5LEAM, L5LEAM;L4LEAM
14658;1;V1IDA;
14659;1;G1MAT9, G2MAT;G1MAT9
14660;1;L5T2D, L8GE, L8GE, L8GE, L8GE, L8GE, L8GE;L5T2D
14661;1;-8<--, G1INF, [trou], G1INF;
14662;1;R4LL, R4LL;
14663;1;-8<--, E3EGE, E3EGE, E4EIR, E4EIR;E3EGE
14664;1;-8<--, D4DPI, D5DPE;D5DPE
14665;1;B1IFJV, [trou], [trou], [trou], B3IFJV;B1IFJV, B3IFJV
14666;1;-8<--, L2GEO, L3GEO, L4T2D, L5T2D;L2GEO, L3GEO, L4T2D, L5T2D
14667;1;V3EON, A3DWM2, A3DWM;
14668;1;-8<--, L4SLF, L5SDL, L5SDL;L4SLF, L5SDL
14669;1;A2CG3;A2CG3
14670;1;-8<--, B4APS, B5APS;B4APS
14671;1;G1INF, G1MAT, G1INF, G2MAT, G2MAT, G2MAT, G2MAT, G3MAT, G3MIM;G1INF, GCLS1S, G2MAT
14672;1;G2PI, G3PC, G4PSM, G5MS;G3PC, G4PSM, G5MS
